surface,tourney_level,tourney_date,winner_id,winner_seed,winner_age,loser_id,loser_seed,loser_age,best_of,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points,winner_winrate,loser_winrate,winner_head_to_head_winrate,loser_head_to_head_winrate,winner_surface_winrate,loser_surface_winrate,winner_recent_form,loser_recent_form
Hard,G,20230116,104745,1.0,36.6,207733,,21.0,5,R128,2.0,5770.0,38.0,1020.0,0.822463768115942,0.5517241379310345,1.0,0.0,0.7714285714285715,0.6190476190476191,0.8,0.6
Hard,G,20230116,111456,,27.7,206909,,21.4,5,R128,65.0,775.0,49.0,902.0,0.4523809523809524,0.3902439024390244,1.0,0.0,0.46875,0.3793103448275862,0.5,0.2
Hard,G,20230116,207494,,20.2,144719,,25.7,5,R128,216.0,249.0,64.0,777.0,0.5,0.2982456140350877,1.0,0.0,0.5,0.23333333333333334,0.5,0.4
Hard,G,20230116,106415,31.0,27.3,144707,,24.3,5,R128,33.0,1212.0,69.0,751.0,0.422680412371134,0.40476190476190477,1.0,0.0,0.4492753623188406,0.32,0.5,0.4
Hard,G,20230116,111575,18.0,26.6,126523,,26.0,5,R128,20.0,1885.0,72.0,712.0,0.5948717948717949,0.3333333333333333,1.0,0.0,0.5867768595041323,0.2,0.7,0.4
Hard,G,20230116,106186,,29.6,202104,,22.0,5,R128,84.0,633.0,44.0,975.0,0.4444444444444444,0.3125,1.0,0.0,0.38461538461538464,0.2777777777777778,0.5,0.3
Hard,G,20230116,209992,,17.9,106214,,29.5,5,R128,194.0,289.0,74.0,701.0,0.14285714285714285,0.40625,1.0,0.0,0.16666666666666666,0.4375,0.5,0.4
Hard,G,20230116,126207,16.0,24.9,127157,,24.3,5,R128,17.0,2260.0,92.0,584.0,0.532051282051282,0.41935483870967744,1.0,0.0,0.5546218487394958,0.26666666666666666,0.7,0.6
Hard,G,20230116,128034,10.0,25.9,124079,,25.7,5,R128,11.0,2860.0,60.0,801.0,0.6012658227848101,0.37777777777777777,1.0,0.0,0.6190476190476191,0.4166666666666667,0.6,0.3
Hard,G,20230116,132283,,27.6,132686,,25.9,5,R128,47.0,925.0,111.0,512.0,0.47,0.21428571428571427,1.0,0.0,0.4,0.16666666666666666,0.5,0.2
Hard,G,20230116,106121,,29.9,124014,,26.5,5,R128,94.0,572.0,313.0,163.0,0.33962264150943394,0.34615384615384615,1.0,0.0,0.3888888888888889,0.4090909090909091,0.6,0.4
Hard,G,20230116,133430,20.0,23.7,105583,,32.5,5,R128,22.0,1830.0,86.0,626.0,0.5911949685534591,0.4296875,1.0,0.0,0.5961538461538461,0.42105263157894735,0.5,0.4
Hard,G,20230116,200624,29.0,22.5,106426,,26.6,5,R128,31.0,1325.0,87.0,606.0,0.5454545454545454,0.5568181818181818,1.0,0.0,0.5581395348837209,0.47619047619047616,0.5,0.6
Hard,G,20230116,133297,,24.7,126239,,27.4,5,R128,138.0,413.0,59.0,807.0,0.45454545454545453,0.26666666666666666,1.0,0.0,0.42857142857142855,0.3157894736842105,0.4,0.4
Hard,G,20230116,105357,,33.5,144817,,26.5,5,R128,140.0,410.0,51.0,866.0,0.4117647058823529,0.14285714285714285,1.0,0.0,0.44642857142857145,0.25,0.3,0.1
Hard,G,20230116,106421,7.0,26.9,106218,,29.4,5,R128,8.0,3860.0,56.0,841.0,0.6942148760330579,0.42424242424242425,1.0,0.0,0.7213114754098361,0.3902439024390244,0.8,0.4
Hard,G,20230116,126774,3.0,24.4,111460,,26.2,5,R128,4.0,5715.0,61.0,800.0,0.6738197424892703,0.3125,1.0,0.0,0.6423357664233577,0.2777777777777778,0.7,0.5
Hard,G,20230116,208014,,21.8,105870,,31.1,5,R128,169.0,344.0,128.0,435.0,0.5454545454545454,0.38461538461538464,1.0,0.0,0.5454545454545454,0.25,0.6,0.7
Hard,G,20230116,134868,,26.5,200303,,24.1,5,R128,63.0,789.0,117.0,483.0,0.3125,0.0,1.0,0.0,0.35,0.0,0.4,0.5
Hard,G,20230116,122298,32.0,27.2,125802,,28.8,5,R128,34.0,1205.0,73.0,705.0,0.5087719298245614,0.42,1.0,0.0,0.5294117647058824,0.46875,0.4,0.4
Hard,G,20230116,144750,,25.8,207518,17.0,20.8,5,R128,186.0,310.0,19.0,1925.0,0.41818181818181815,0.5076923076923077,1.0,0.0,0.4864864864864865,0.41935483870967744,0.3,0.4
Hard,G,20230116,105916,,30.9,105948,,30.8,5,R128,78.0,687.0,76.0,695.0,0.4727272727272727,0.25,1.0,0.0,0.47761194029850745,0.1875,0.6,0.1
Hard,G,20230116,144869,,23.4,106296,,28.9,5,R128,79.0,649.0,83.0,635.0,0.4074074074074074,0.3611111111111111,1.0,0.0,0.2857142857142857,0.375,0.5,0.5
Hard,G,20230116,206173,15.0,21.4,106378,,28.0,5,R128,16.0,2375.0,581.0,52.0,0.6884057971014492,0.45454545454545453,1.0,0.0,0.6829268292682927,0.4444444444444444,0.7,0.1
Hard,G,20230116,111815,11.0,27.4,209414,,18.6,5,R128,12.0,2680.0,143.0,403.0,0.5365853658536586,0.25,1.0,0.0,0.5263157894736842,0.25,0.5,0.2
Hard,G,20230116,106005,,30.6,106329,,28.6,5,R128,55.0,842.0,77.0,690.0,0.14285714285714285,0.2564102564102564,1.0,0.0,0.25,0.15789473684210525,0.5,0.3
Hard,G,20230116,111153,,26.6,126952,,25.1,5,R128,116.0,487.0,52.0,862.0,0.4117647058823529,0.21428571428571427,1.0,0.0,0.35714285714285715,0.16666666666666666,0.7,0.2
Hard,G,20230116,208103,,21.1,106432,21.0,26.1,5,R128,71.0,717.0,23.0,1760.0,0.4375,0.5365853658536586,1.0,0.0,0.4444444444444444,0.5523809523809524,0.7,0.4
Hard,G,20230116,144895,,23.7,200059,,23.2,5,R128,62.0,790.0,114.0,494.0,0.4166666666666667,0.3888888888888889,1.0,0.0,0.43333333333333335,0.46153846153846156,0.3,0.3
Hard,G,20230116,144684,,25.1,104527,,37.8,5,R128,53.0,850.0,139.0,412.0,0.4838709677419355,0.6,1.0,0.0,0.47368421052631576,0.6262626262626263,0.6,0.5
Hard,G,20230116,200000,6.0,22.4,105577,,32.5,5,R128,7.0,3895.0,99.0,560.0,0.5396825396825397,0.3333333333333333,1.0,0.0,0.5795454545454546,0.3877551020408163,0.7,0.3
Hard,G,20230116,126094,5.0,25.2,106233,,29.3,5,R128,6.0,3930.0,98.0,561.0,0.6206896551724138,0.631578947368421,0.6666666666666666,0.33333333333333337,0.6056338028169014,0.6134453781512605,0.7,0.3
Hard,G,20230116,200325,,23.7,126845,,24.7,5,R128,46.0,941.0,205.0,268.0,0.47368421052631576,0.3125,1.0,0.0,0.5384615384615384,0.3333333333333333,0.7,0.5
Hard,G,20230116,105554,25.0,32.6,105487,,32.8,5,R128,30.0,1380.0,91.0,595.0,0.4444444444444444,0.25,1.0,0.0,0.47761194029850745,0.2777777777777778,0.1,0.2
Hard,G,20230116,106045,,30.4,126128,,25.4,5,R128,108.0,522.0,97.0,563.0,0.3469387755102041,0.5357142857142857,1.0,0.0,0.37142857142857144,0.4,0.3,0.5
Hard,G,20230116,200005,,24.5,104755,,36.5,5,R128,106.0,523.0,42.0,990.0,0.37662337662337664,0.4846153846153846,0.5,0.5,0.4117647058823529,0.4666666666666667,0.5,0.3
Hard,G,20230116,202195,,25.6,105077,,34.9,5,R128,41.0,992.0,37.0,1075.0,0.3235294117647059,0.4244604316546763,1.0,0.0,0.4166666666666667,0.375,0.2,0.2
Hard,G,20230116,208029,9.0,19.7,105936,,30.8,5,R128,10.0,2876.0,54.0,845.0,0.6307692307692307,0.4318181818181818,1.0,0.0,0.5454545454545454,0.4642857142857143,0.6,0.1
Hard,G,20230116,105807,14.0,31.5,106398,,27.7,5,R128,15.0,2420.0,58.0,809.0,0.5852272727272727,0.42105263157894735,1.0,0.0,0.6186440677966102,0.3333333333333333,0.5,0.5
Hard,G,20230116,126127,,26.6,208233,,21.6,5,R128,48.0,911.0,152.0,374.0,0.4117647058823529,0.0,1.0,0.0,0.47368421052631576,0.0,0.5,0.5
Hard,G,20230116,105173,,34.5,104545,,37.7,5,R128,45.0,971.0,43.0,980.0,0.44966442953020136,0.6022099447513812,0.5,0.5,0.5047619047619047,0.5873015873015873,0.6,0.1
Hard,G,20230116,200282,22.0,23.9,200318,,23.7,5,R128,24.0,1710.0,209.0,265.0,0.547945205479452,0.5,1.0,0.0,0.5961538461538461,0.5,0.5,0.5
Hard,G,20230116,105777,27.0,31.6,106234,,29.3,5,R128,28.0,1395.0,82.0,635.0,0.6147186147186147,0.5,0.5,0.5,0.6486486486486487,0.47058823529411764,0.5,0.7
Hard,G,20230116,111513,,27.6,200267,,23.6,5,R128,68.0,758.0,130.0,428.0,0.35064935064935066,0.0,1.0,0.0,0.24324324324324326,0.0,0.4,0.5
Hard,G,20230116,111505,,27.8,106198,,29.5,5,R128,191.0,302.0,131.0,425.0,0.25,0.21739130434782608,1.0,0.0,0.25,0.14285714285714285,0.5,0.1
Hard,G,20230116,104925,4.0,35.6,106148,,29.8,5,R128,5.0,5070.0,75.0,695.0,0.8635097493036211,0.3392857142857143,1.0,0.0,0.8704663212435233,0.3333333333333333,0.8,0.5
Hard,G,20230116,126203,8.0,25.2,105932,,30.8,5,R128,9.0,3545.0,90.0,595.0,0.5625,0.4017857142857143,0.5,0.5,0.5737704918032787,0.43243243243243246,0.7,0.2
Hard,G,20230116,200615,,23.4,202358,,21.4,5,R128,113.0,506.0,115.0,490.0,0.4782608695652174,0.125,1.0,0.0,0.5333333333333333,0.16666666666666666,0.5,0.5
Hard,G,20230116,210097,,20.2,111190,,26.2,5,R128,89.0,604.0,96.0,567.0,0.5454545454545454,0.5,1.0,0.0,0.6296296296296297,0.4166666666666667,0.5,0.6
Hard,G,20230116,111797,,27.2,200175,26.0,23.3,5,R128,154.0,370.0,27.0,1445.0,0.42857142857142855,0.4157303370786517,1.0,0.0,0.4482758620689655,0.45161290322580644,0.6,0.1
Hard,G,20230116,106043,23.0,30.4,208071,,22.8,5,R128,26.0,1550.0,188.0,308.0,0.5658536585365853,0.0,1.0,0.0,0.5378151260504201,0.0,0.4,0.5
Hard,G,20230116,200670,,24.0,111442,,28.7,5,R128,67.0,758.0,88.0,604.0,0.45714285714285713,0.379746835443038,1.0,0.0,0.4642857142857143,0.4,0.5,0.4
